num,times
754,1
676,1
421,1
979,1
254,1
1186,1
319,1
559,1
629,1
368,1
286,1
1193,1
1081,1
339,1
766,1
620,1
506,1
413,1
498,1
612,1
384,1
1746,1
381,1
640,1
256,1
379,1
771,1
632,1
1068,1
385,1
644,1
343,1
366,1
1113,1
345,1
1072,1
727,1
454,1
253,1
393,1
358,1
429,1
831,1
488,1
1165,1
1195,1
546,1
504,1
1608,1
591,1
317,1
235,1
679,1
459,1
843,1
1743,1
739,1
350,1
517,1
610,1
899,1
1725,1
762,1
437,1
462,1
541,1
837,1
1820,1
304,1
493,1
764,1
1046,1
474,1
278,1
391,1
3071,1
936,1
280,1
250,1
316,1
364,1
401,1
497,1
352,1
409,1
932,1
845,1
430,1
1621,1
799,1
558,1
920,1
257,1
614,1
446,1
1885,1
1086,1
1111,1
484,1
441,1
531,1
537,1
479,1
310,1
1560,1
508,1
466,1
442,1
529,1
675,1
897,1
489,1
262,1
215,1
800,1
539,1
370,1
516,1
857,1
533,1
495,1
2491,1
574,1
315,1
655,1
532,1
1119,1
565,1
428,1
688,1
423,1
553,1
589,1
507,1
468,1
760,1
318,1
712,1
609,1
638,1
1480,1
331,1
674,1
255,1
667,1
326,1
332,1
336,1
400,1
788,1
329,1
796,1
397,1
388,1
726,1
593,1
590,1
450,1
512,1
476,1
587,1
252,1
567,1
414,1
277,1
266,1
380,1
340,1
736,1
518,1
321,1
425,1
481,1
870,1
433,1
412,1
306,1
383,1
502,1
607,1
923,1
597,1
806,1
419,1
289,2
527,2
344,2
457,2
227,2
704,2
328,2
296,2
645,2
382,2
1006,2
418,2
387,2
509,2
545,2
523,2
239,2
480,2
204,2
259,2
367,2
212,2
228,2
297,2
526,2
449,2
330,2
279,2
216,2
492,2
743,2
568,2
221,2
390,2
233,2
440,2
435,2
269,2
302,2
272,2
436,2
171,2
496,2
363,2
324,2
351,2
220,2
475,2
346,2
578,2
416,2
672,2
301,2
273,2
472,2
359,2
598,2
274,2
300,2
268,2
348,2
570,2
405,2
267,2
956,2
369,2
294,2
246,2
356,2
225,2
406,2
249,2
399,2
375,2
284,2
445,2
334,2
214,2
714,2
407,2
323,2
360,3
349,3
222,3
312,3
236,3
500,3
223,3
850,3
410,3
240,3
251,3
237,3
415,3
292,3
288,3
426,3
263,3
226,3
265,3
342,3
271,3
207,3
188,3
325,3
298,3
182,3
258,3
303,3
211,3
224,3
230,3
218,3
290,3
248,3
244,3
242,3
460,3
144,4
293,4
229,4
275,4
281,4
217,4
202,4
198,4
264,4
234,4
241,4
219,4
231,4
347,4
210,4
232,4
247,4
191,4
305,4
245,4
181,5
197,5
320,5
238,5
200,5
159,5
209,5
177,5
184,5
196,5
270,5
295,5
189,5
195,5
243,5
174,5
170,6
178,6
172,6
149,6
261,6
208,6
165,6
167,6
205,6
199,6
150,6
285,6
203,6
164,6
163,7
194,7
127,7
291,7
176,7
160,7
185,7
139,7
213,7
187,8
175,8
155,8
153,8
192,8
180,8
136,8
190,9
193,9
131,9
146,9
201,9
168,9
156,10
166,10
161,10
186,10
162,10
183,10
126,10
173,10
179,11
130,11
141,11
142,11
148,11
143,11
169,11
158,11
151,12
138,12
145,12
147,12
133,12
154,12
206,12
132,12
152,13
157,13
124,13
117,13
129,13
111,14
140,14
121,14
115,14
128,15
123,15
135,15
137,15
125,15
113,16
119,16
122,16
134,17
106,17
107,18
109,18
101,18
103,18
104,19
108,19
100,19
120,20
110,21
112,21
72,21
114,22
118,22
116,22
102,23
97,24
94,24
92,26
96,26
99,27
105,27
89,28
90,29
88,30
91,30
93,32
95,32
85,33
83,33
84,34
98,35
87,36
82,37
79,37
76,40
80,40
78,40
77,43
81,44
86,45
68,46
73,47
75,47
74,47
66,50
64,50
67,50
57,56
70,57
69,57
71,57
59,66
58,69
65,69
62,70
61,72
60,77
63,78
53,80
52,81
54,84
51,87
56,90
55,94
50,105
45,116
49,124
48,127
47,131
44,133
43,142
41,146
46,155
42,159
39,170
40,186
37,197
38,198
35,207
34,227
36,231
32,272
30,277
33,280
31,288
29,344
27,357
28,359
26,391
25,434
24,493
23,526
22,551
21,617
20,668
19,742
18,806
17,986
16,1093
15,1173
14,1359
13,1605
12,1893
11,2168
10,2703
9,3308
8,3953
7,5343
6,7483
5,10877
4,17112
3,31945
2,77801
1,363646
0,9262960
