num,times
5816,1
3427,1
4771,1
5896,1
1968,1
17873,1
2848,1
2522,1
3806,1
2034,1
5500,1
2991,1
2200,1
2262,1
2340,1
854,1
2580,1
2571,1
6519,1
13268,1
5882,1
2431,1
1980,1
3135,1
5968,1
1055,1
1508,1
3536,1
3022,1
8351,1
4728,1
5558,1
6541,1
7879,1
1170,1
4131,1
2620,1
2093,1
1819,1
4073,1
11400,1
1563,1
5067,1
2062,1
1305,1
1991,1
3505,1
4893,1
2187,1
2936,1
1580,1
4973,1
3445,1
2671,1
3578,1
4276,1
8786,1
3336,1
2841,1
1286,1
6135,1
3991,1
5008,1
1514,1
2336,1
2485,1
2130,1
6423,1
3491,1
3977,1
2176,1
1894,1
12617,1
1507,1
1650,1
4124,1
2363,1
3043,1
2146,1
19298,1
2099,1
1085,1
7662,1
5374,1
1364,1
1595,1
2250,1
2473,1
757,1
7454,1
15717,1
5806,1
3511,1
5038,1
2628,1
1202,1
4070,1
3120,1
1145,1
1370,1
1573,1
1443,1
5078,1
4483,1
2878,1
1835,1
2474,1
3503,1
3365,1
1802,1
1345,1
17101,1
13535,1
3493,1
11297,1
1512,1
2702,1
1335,1
4017,1
4268,1
1434,1
3214,1
2507,1
1847,1
1730,1
2265,1
3357,1
11698,1
9186,1
15334,1
2815,1
3425,1
4679,1
1015,1
1427,1
4189,1
2185,1
1749,1
2246,1
2423,1
1464,1
1924,1
2267,1
2046,1
5562,1
4345,1
1535,1
1777,1
13649,1
1589,1
2066,1
2372,1
2024,1
3089,1
5249,1
2156,1
3421,1
2957,1
1978,1
1454,1
1627,1
6712,1
1281,1
2143,1
4243,1
4558,1
1824,1
3540,1
1274,1
2599,1
3261,1
3890,1
2493,1
19354,1
2013,1
1914,1
1945,1
9325,1
14171,1
2266,1
5297,1
2167,1
4409,1
3268,1
6089,1
1384,1
1744,1
1230,1
2576,1
2047,1
2903,1
2602,1
11387,1
2052,1
9234,1
2866,1
983,1
2475,1
2348,1
3889,1
2513,1
1476,1
1530,1
26707,1
4637,1
1700,1
1258,1
2217,1
1935,1
2439,1
8525,1
1881,1
2155,1
3289,1
966,1
1139,1
1051,1
6168,1
1282,1
2415,1
5209,1
8407,1
1268,1
13290,1
1735,1
2477,1
2639,1
3335,1
14557,1
1799,1
3266,1
2542,1
5033,1
2094,1
1901,1
2484,1
1874,1
9380,1
2792,1
3305,1
3069,1
2633,1
3368,1
2527,1
1495,1
2126,1
1391,1
1652,1
10800,1
1694,1
3075,1
2111,1
1279,1
1352,1
3899,1
5880,1
1494,1
1708,1
1121,1
1815,1
1046,1
2638,1
1238,1
7759,1
1866,1
2345,1
1719,1
1722,1
1030,1
1739,1
2086,1
2468,1
5144,1
1485,1
2534,1
8662,1
2498,1
8154,1
1806,1
3851,1
10552,1
1956,1
3436,1
1176,1
6375,1
2212,1
2073,1
1926,1
1649,1
4194,1
1839,1
2230,1
3874,1
2390,1
6323,1
1760,1
2145,1
2067,1
1039,1
3550,1
860,1
1266,1
1453,1
3565,1
1289,1
1513,1
8492,1
3803,1
2459,1
1520,1
2216,1
